"code","name","coordinates__latitude","coordinates__longitude","address"
"SOC","Stephen C. O'Connell Center Pool","29.6462255","-82.3409362","Gainesville, FL 32603, United States"
"SPRC","Springs Commons Building","29.6423855","-82.34048229999999","Diamond Village Commons Bldg, 1402 Diamond Rd, Gainesville, FL 32603, USA"
"SRPT","IFAS Support Services","29.6465201","-82.3443187","Gainesville, FL 32603, United States"
"SSB","Criser Hall","29.6501881","-82.34160899999999","1478 Union Rd, Gainesville, FL 32611, United States"
"STA","Stadium, Ben Hill Griffin","29.6499357","-82.3485788","157 Gale Lemerand Dr, Gainesville, FL 32601, United States"
"STZ","Stuzin Hall - Business Building","29.650815","-82.3411782","1454, 100 Stuzin Hall Union Rd, Gainesville, FL 32611, United States"
"SWC","SW Recreation Complex","27.8920203","-82.8187822","13120 Vonn Rd, Largo, FL 33774, United States"
"THC","Teaching Hospital and Clinics, Shands","29.659113","-82.3928509","4645 NW 8th Ave, Gainesville, FL 32605, United States"
"TIG","Tigert Hall - UF Administration","29.6436325","-82.3549302","Gainesville, FL 32611, United States"
"TUR","Turlington Hall","29.6489642","-82.343747","330 Newell Dr, Gainesville, FL 32611, United States"
"UST","Ustler Hall","29.65044320000001","-82.3468705","Ustler Hall, Gainesville, FL 32608, USA"
"VAN","Van Fleet Hall - ROTC","29.6485548","-82.3511003","204 Van Fleet Hall, Gainesville, FL 32611, United States"
"VET","Veterinary Science","29.6332527","-82.3502601","2015 SW 16th Ave, Gainesville, FL 32608, United States"
"VMAW","Veterinary Medicine - Academic Wing","29.6338194","-82.3487936","Veterinary Medicine Academic Bldg, Gainesville, FL 32608, USA"
"WAL","Walker Hall","29.64937919999999","-82.34153959999999","1489 Union Rd, Gainesville, FL 32611, United States"
"WALC","Wallace Hall","33.9958184","-85.9915726","1001 George Wallace Dr, Gadsden, AL 35903, United States"
"WARP","WARP Haus - PHP Midtowne Center","","",""
"WAU","Lake Wauburg","29.5298432","-82.30313","Lake Wauburg, Florida 32667, USA"
"WEIL","Weil Hall","29.64838079999999","-82.3485109","Weil Hall, Gainesville, FL 32603, USA"
"WEIM","Weimer Hall","29.6478351","-82.34752759999999","Weimer Hall, Gainesville, FL 32603, USA"
"WM","Williamson Hall","29.6436325","-82.3549302","Gainesville, FL 32611, United States"
"WSFL","Weed Sciences Field Building","29.6391841","-82.36376249999999","Weed Sciences Field Bldg, Gainesville, FL 32603, USA"
"YON","Yon Hall","29.6498808","-82.3478071","Gainesville, FL 32608, United States"
